2014-08-17 18:28:03,664 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.suncen:test:1.0.0-BUILD-SNAPSHOT @ F:\javatest\JavaDemo\HelloWold\pom.xml.
2014-08-17 18:28:18,188 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.suncen:test:1.0.0-BUILD-SNAPSHOT @ F:\javatest\JavaDemo\HelloWold\pom.xml.
2014-08-17 18:28:23,353 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:23,547 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:28:23,605 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:23,608 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-08-17 18:28:24,916 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.suncen:test:1.0.0-BUILD-SNAPSHOT @ F:\javatest\JavaDemo\HelloWold\pom.xml.
2014-08-17 18:28:25,376 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:25,383 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:28:25,416 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:25,419 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-08-17 18:28:27,208 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:27,212 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:28:27,214 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:28:27,217 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:10,435 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:10,439 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:45:10,440 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:10,443 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:11,722 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:11,729 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:45:11,731 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:11,734 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:18,845 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:18,848 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:45:18,850 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:18,853 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:23,653 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:23,657 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:45:23,659 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:23,661 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:49,918 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:49,922 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:49,924 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:49,927 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:45:56,387 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:56,394 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:45:56,397 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:45:56,401 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:54:30,574 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:54:30,578 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:54:30,580 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:54:30,583 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:56:01,033 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:56:01,038 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:56:01,041 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:56:01,045 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:56:05,532 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:56:05,537 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:56:05,539 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:56:05,543 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:58:13,100 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:58:13,105 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:58:13,107 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:58:13,111 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:58:24,085 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:58:24,091 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:58:24,092 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:58:24,095 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:59:25,728 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:59:25,732 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:59:25,733 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:59:25,737 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 18:59:59,392 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:59:59,396 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-08-17 18:59:59,399 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 18:59:59,402 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 19:01:15,004 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 19:01:15,006 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 19:01:15,008 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 19:01:15,010 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-17 19:01:44,774 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-17 19:01:44,778 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
